優惠店家名稱,餐廳地址,好康條件,好康類型,好康內容
老牌豬血湯、藥燉排骨,臺北市大同區寧夏路29-33號(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
屏東椰子汁,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
順路來紅燒肉羹,臺北市大同區寧夏路34號(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
檸檬愛玉,臺北市大同區寧夏路36號(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
純如G蛋排,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
阿諾可麗餅,臺北市大同區寧夏路56-38號(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
洪記割包,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
生炒魷魚羹,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
幸花明太子起司烤餅,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
山東赤肉蒸餃,臺北市大同區寧夏路48號(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
郭魚湯,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
牛媽媽沙茶牛肉,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
范太太赤肉飯,臺北市大同區寧夏路50號(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
海水伯鵝肉,臺北市大同區寧夏路56號(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
一品香豆腐,臺北市大同區寧夏路35號(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
兩點綠豆沙,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
你好地瓜球,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
厚切牛排,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
杏飽菇,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
